"Station Name","TORONTO CITY CENTRE"
"Province","ONTARIO"
"Latitude","43.63"
"Longitude","-79.40"
"Elevation","76.80"
"Climate Identifier","6158359"
"WMO Identifier","71265"
"TC Identifier","YTZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-11-01 00:00","2016","11","01","00:00","7.7","","1.6","","65","","12","","21","","16.1","","101.22","","","","","","NA"
"2016-11-01 01:00","2016","11","01","01:00","7.8","","2.7","","70","","10","","18","","16.1","","101.16","","","","","","NA"
"2016-11-01 02:00","2016","11","01","02:00","8.3","","3.6","","72","","11","","17","","16.1","","101.15","","","","","","NA"
"2016-11-01 03:00","2016","11","01","03:00","7.6","","3.8","","77","","11","","8","","16.1","","101.14","","","","","","NA"
"2016-11-01 04:00","2016","11","01","04:00","7.6","","4.4","","80","","12","","8","","16.1","","101.03","","","","","","NA"
"2016-11-01 05:00","2016","11","01","05:00","8.7","","5.1","","78","","14","","13","","16.1","","100.99","","","","","","NA"
"2016-11-01 06:00","2016","11","01","06:00","9.0","","5.5","","78","","14","","11","","16.1","","100.96","","","","","","NA"
"2016-11-01 07:00","2016","11","01","07:00","9.2","","5.8","","79","","13","","9","","16.1","","100.92","","","","","","NA"
"2016-11-01 08:00","2016","11","01","08:00","10.6","","6.0","","73","","16","","15","","16.1","","100.95","","","","","","NA"
"2016-11-01 09:00","2016","11","01","09:00","10.9","","6.1","","72","","14","","11","","16.1","","100.90","","","","","","NA"
"2016-11-01 10:00","2016","11","01","10:00","11.9","","6.8","","71","","15","","13","","16.1","","100.90","","","","","","NA"
"2016-11-01 11:00","2016","11","01","11:00","11.7","","7.1","","73","","12","","13","","16.1","","100.81","","","","","","NA"
"2016-11-01 12:00","2016","11","01","12:00","12.2","","7.3","","72","","8","","17","","16.1","","100.73","","","","","","NA"
"2016-11-01 13:00","2016","11","01","13:00","12.6","","8.9","","78","","7","","15","","16.1","","100.64","","","","","","NA"
"2016-11-01 14:00","2016","11","01","14:00","14.1","","10.4","","78","","8","","18","","16.1","","100.60","","","","","","NA"
"2016-11-01 15:00","2016","11","01","15:00","14.2","","10.4","","78","","8","","15","","16.1","","100.55","","","","","","NA"
"2016-11-01 16:00","2016","11","01","16:00"
"2016-11-01 17:00","2016","11","01","17:00","13.0","","10.7","","86","","8","","9","","16.1","","100.52","","","","","","NA"
"2016-11-01 18:00","2016","11","01","18:00","13.1","","11.0","","87","","8","","11","","16.1","","100.57","","","","","","NA"
"2016-11-01 19:00","2016","11","01","19:00","15.5","","12.7","","83","","","","0","","16.1","","100.62","","","","","","NA"
"2016-11-01 20:00","2016","11","01","20:00","14.9","","13.5","","91","","17","","5","","16.1","","100.62","","","","","","NA"
"2016-11-01 21:00","2016","11","01","21:00","15.1","","13.3","","89","","20","","11","","16.1","","100.64","","","","","","NA"
"2016-11-01 22:00","2016","11","01","22:00","15.7","","13.6","","87","","","M","4","","16.1","","100.68","","","","","","NA"
"2016-11-01 23:00","2016","11","01","23:00","16.0","","13.7","","86","","","","0","","16.1","","100.73","","","","","","NA"
"2016-11-02 00:00","2016","11","02","00:00","13.8","","13.0","","95","","19","","4","","12.9","","100.77","","","","","","NA"
"2016-11-02 01:00","2016","11","02","01:00","14.3","","13.7","","96","","","","0","","9.7","","100.81","","","","","","Fog"
"2016-11-02 02:00","2016","11","02","02:00","14.9","","13.8","","93","","30","","5","","12.9","","100.87","","","","","","NA"
"2016-11-02 03:00","2016","11","02","03:00","14.5","","13.2","","92","","31","","4","","14.5","","100.89","","","","","","NA"
"2016-11-02 04:00","2016","11","02","04:00","14.1","","13.0","","93","","19","","5","","9.7","","100.96","","","","","","Fog"
"2016-11-02 05:00","2016","11","02","05:00","13.6","","12.8","","95","","","M","4","","8.1","","101.02","","","","","","Fog"
