"Station Name","TORONTO CITY CENTRE"
"Province","ONTARIO"
"Latitude","43.63"
"Longitude","-79.40"
"Elevation","76.80"
"Climate Identifier","6158359"
"WMO Identifier","71265"
"TC Identifier","YTZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2016-10-01 00:00","2016","10","01","00:00","14.1","","12.0","","87","","8","","30","","16.1","","101.44","","","","","","NA"
"2016-10-01 01:00","2016","10","01","01:00","14.3","","11.5","","83","","9","","28","","16.1","","101.43","","","","","","NA"
"2016-10-01 02:00","2016","10","01","02:00","13.9","","11.6","","86","","8","","28","","16.1","","101.37","","","","","","NA"
"2016-10-01 03:00","2016","10","01","03:00","13.9","","11.8","","87","","7","","35","","16.1","","101.28","","","","","","NA"
"2016-10-01 04:00","2016","10","01","04:00","14.0","","11.9","","87","","8","","28","","16.1","","101.26","","","","","","NA"
"2016-10-01 05:00","2016","10","01","05:00","14.1","","12.2","","88","","9","","22","","16.1","","101.29","","","","","","Rain"
"2016-10-01 06:00","2016","10","01","06:00","14.2","","11.7","","85","","9","","18","","16.1","","101.30","","","","","","NA"
"2016-10-01 07:00","2016","10","01","07:00","14.0","","11.7","","86","","9","","24","","16.1","","101.30","","","","","","NA"
"2016-10-01 08:00","2016","10","01","08:00","14.2","","12.3","","88","","8","","22","","16.1","","101.25","","","","","","NA"
"2016-10-01 09:00","2016","10","01","09:00","13.7","","12.6","","93","","9","","21","","16.1","","101.25","","","","","","Rain"
"2016-10-01 10:00","2016","10","01","10:00","13.9","","12.8","","93","","11","","22","","16.1","","101.24","","","","","","NA"
"2016-10-01 11:00","2016","10","01","11:00","14.6","","13.3","","92","","8","","22","","16.1","","101.16","","","","","","NA"
"2016-10-01 12:00","2016","10","01","12:00","14.5","","13.4","","93","","8","","22","","16.1","","101.10","","","","","","NA"
"2016-10-01 13:00","2016","10","01","13:00","15.0","","13.6","","91","","8","","28","","16.1","","101.03","","","","","","NA"
"2016-10-01 14:00","2016","10","01","14:00","15.1","","13.7","","91","","9","","21","","16.1","","101.01","","","","","","NA"
"2016-10-01 15:00","2016","10","01","15:00","14.9","","13.5","","91","","8","","32","","16.1","","100.95","","","","","","NA"
"2016-10-01 16:00","2016","10","01","16:00","15.2","","13.8","","91","","8","","26","","16.1","","100.95","","","","","","NA"
"2016-10-01 17:00","2016","10","01","17:00","15.9","","14.1","","89","","9","","24","","16.1","","100.92","","","","","","NA"
"2016-10-01 18:00","2016","10","01","18:00","16.4","","14.6","","89","","8","","26","","16.1","","100.89","","","","","","NA"
"2016-10-01 19:00","2016","10","01","19:00","16.7","","14.4","","86","","8","","24","","16.1","","100.86","","","","","","Rain"
"2016-10-01 20:00","2016","10","01","20:00","16.4","","14.3","","87","","8","","26","","16.1","","100.88","","","","","","NA"
"2016-10-01 21:00","2016","10","01","21:00","15.9","","14.3","","90","","8","","30","","16.1","","100.83","","","","","","NA"
"2016-10-01 22:00","2016","10","01","22:00","15.9","","14.6","","92","","8","","22","","16.1","","100.81","","","","","","NA"
"2016-10-01 23:00","2016","10","01","23:00","15.9","","14.6","","92","","8","","17","","16.1","","100.79","","","","","","NA"
"2016-10-02 00:00","2016","10","02","00:00","15.7","","14.8","","94","","8","","18","","16.1","","100.74","","","","","","NA"
"2016-10-02 01:00","2016","10","02","01:00","15.5","","14.9","","96","","7","","15","","6.4","","100.73","","","","","","Fog"
"2016-10-02 02:00","2016","10","02","02:00","15.7","","15.2","","97","","9","","8","","4.8","","100.71","","","","","","Fog"
"2016-10-02 03:00","2016","10","02","03:00","15.9","","15.4","","97","","6","","9","","16.1","","100.64","","","","","","NA"
"2016-10-02 04:00","2016","10","02","04:00","16.0","","15.2","","95","","7","","5","","16.1","","100.65","","","","","","NA"
"2016-10-02 05:00","2016","10","02","05:00","16.3","","15.5","","95","","7","","4","","14.5","","100.64","","","","","","NA"
"2016-10-02 06:00","2016","10","02","06:00","16.0","","15.4","","96","","28","","9","","14.5","","100.69","","","","","","NA"
"2016-10-02 07:00","2016","10","02","07:00","16.3","","15.0","","92","","27","","9","","16.1","","100.69","","","","","","NA"
"2016-10-02 08:00","2016","10","02","08:00","17.0","","15.2","","89","","","M","4","","16.1","","100.64","","","","","","Rain"
"2016-10-02 09:00","2016","10","02","09:00","18.5","","14.9","","79","","","M","4","","16.1","","100.61","","","","","","NA"
"2016-10-02 10:00","2016","10","02","10:00","17.7","","14.8","","83","","18","","9","","16.1","","100.60","","","","","","NA"
"2016-10-02 11:00","2016","10","02","11:00","17.1","","15.5","","90","","17","","11","","16.1","","100.66","","","","","","Rain"
"2016-10-02 12:00","2016","10","02","12:00","17.6","","15.8","","89","","8","","5","","16.1","","100.59","","","","","","Rain"
"2016-10-02 13:00","2016","10","02","13:00","18.7","","15.3","","81","","19","","11","","16.1","","100.55","","","","","","NA"
"2016-10-02 14:00","2016","10","02","14:00","18.6","","15.1","","80","","19","","9","","14.5","","100.51","","","","","","NA"
"2016-10-02 15:00","2016","10","02","15:00","18.6","","15.1","","80","","15","","11","","16.1","","100.46","","","","","","NA"
